param n=64;
param m=4;
param MM:=
	1	  112
	2	  109
	3	  131
	4	  318 ;
param AA:=
	1	    6
	2	    8
	3	    8
	4	   30
	5	   14
	6	   32
	7	    2
	8	    2
	9	    7
	10	    2
	11	    3
	12	   43
	13	   18
	14	    8
	15	   10
	16	    8
	17	   21
	18	    4
	19	   11
	20	    3
	21	    4
	22	    1
	23	   24
	24	   44
	25	    3
	26	    8
	27	    3
	28	   11
	29	    3
	30	   15
	31	   11
	32	    2
	33	   19
	34	    8
	35	    1
	36	    4
	37	    8
	38	    1
	39	    6
	40	    4
	41	    6
	42	    2
	43	    7
	44	    3
	45	    9
	46	   22
	47	   31
	48	    2
	49	    9
	50	   12
	51	    5
	52	    4
	53	    7
	54	   11
	55	   33
	56	   17
	57	   15
	58	    3
	59	    5
	60	    4
	61	    4
	62	   17
	63	    7
	64	   15 ;
param a:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64=
	1	   251	  144	  116	  260	  167	  130	  187	  251	  142	  180	  139	  231	  190	  252	   89	   65	  260	  111	  247	  256	  252	  193	  256	   97	  234	  187	  232	  196	  202	  190	   90	   90	   94	  106	  235	  134	  147	  200	  169	  196	  235	   71	  186	  143	  124	  256	  123	  134	  232	   72	   87	  110	  250	   98	   83	  254	  101	  163	  130	  260	  106	  163	  169	  164 		
	2	   253	  112	  234	  182	  194	   89	  100	  158	  201	  198	  255	  213	  100	  260	  250	  235	  139	  128	  248	  235	  157	   93	  263	  125	  206	   86	  207	  226	  254	  129	  177	   66	   80	  216	  192	   89	   66	  122	  129	  169	  209	  196	  252	   67	  177	  225	  160	  157	  161	   70	  111	  186	  262	  259	   93	  192	  218	  141	  127	  144	  215	  177	  241	   99 		
	3	   144	  147	  220	  252	  254	  119	  187	  162	  149	  126	  158	  182	  248	  232	  115	  235	  104	  159	  217	  226	   68	  207	   88	  113	  264	  261	  172	  153	  128	  115	  177	  162	  174	   92	  230	  150	  122	   85	  188	  227	  244	  200	  259	  196	  176	  185	  180	  173	   71	  262	  177	  246	  106	  120	  136	  161	  165	  161	  132	  116	  236	   90	  129	  216 		
	4	   105	  239	  191	  118	  109	  102	  218	  155	  158	  113	  145	  127	   91	  235	  101	  185	  103	  154	  236	  165	   68	  196	   92	  145	   73	  178	  224	  202	  150	  261	   89	  139	  191	  225	  155	  122	  226	   86	   89	   76	  134	  174	  256	  130	  253	  101	   79	  173	  102	  188	  192	  121	  122	  176	  166	  144	  200	   97	  252	  192	  176	  187	  112	  160 		
;
param c:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64=
	1	  1	 1	 4	 4	 7	 5	 4	 1	 4	 7	 7	 6	 7	10	10	 1	 4	 6	 5	 8	 1	 9	 8	 8	 4	 3	 7	 2	 7	 7	 2	 2	 5	 5	 5	 9	10	 5	 9	 9	 5	 6	 2	 2	 6	 7	10	 9	 6	 6	 8	 6	 3	 6	 4	 8	 8	 7	 5	 5	 5	 7	10	 6 		
	2	 10	10	 4	10	10	10	10	 1	 4	 1	 8	 4	10	 4	 3	 3	 7	 3	 3	 3	 2	 2	 2	 7	 9	 7	 9	 2	 9	 5	 5	 1	 2	 9	 6	 9	 2	 9	 5	 9	 3	 9	 1	 2	 5	 1	 9	 2	 8	 5	 6	 2	 2	 5	 5	 6	10	 5	 7	 2	 9	 6	10	 6 		
	3	  1	10	 7	 1	 9	 2	 4	 7	 9	 7	 1	10	 4	 8	 3	 3	 2	10	10	 2	 3	 9	10	 9	 1	 3	 2	 4	 3	 3	 6	 7	 3	 1	10	 7	 9	 6	 5	 9	 6	 5	 5	 2	 5	 1	 7	 2	 6	 3	 5	 5	 5	 3	 7	 8	 6	 8	 3	 4	 5	 2	 5	10 		
	4	  1	 2	 8	 1	 7	 2	 6	 3	10	 9	 1	 8	 3	 3	 8	 3	 3	 4	 5	 6	 3	 2	 2	 1	 8	 6	 5	 8	 8	 4	 9	 7	 6	 1	 4	 9	 2	 7	10	10	 9	 3	 8	 1	10	 9	 1	 2	 3	 3	 6	 3	 9	 5	 7	 2	 4	 8	10	 6	 5	 3	10	 9 		
;
param mm_:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64=
	1	     0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0 		
	2	     0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0 		
	3	     0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0 		
	4	     0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0 		
;
